champ_id,apiname,name,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed,cc_score,engage_score,peel_score,zone_control_score,magic_ratio,phys_ratio,tankiness,meta_strength
517,Sylas,Sylas,600,122,400,70.0,340,29,5.2,32,2.55,175,9.0,0.9,8.0,0.8,0,0,61,3.0,3.5,0.645,0.0,1.0,1.0,0.0,1.0,0.0,1.82,0.0
134,Syndra,Syndra,563,100,480,40.0,330,25,4.0,30,1.3,550,6.5,0.6,8.0,0.8,0,0,54,2.9,2.0,0.658,1.0,0.0,0.0,0.0,1.0,0.0,1.663,0.0
223,TahmKench,Tahm Kench,640,103,325,50.0,335,39,4.7,32,2.05,175,6.5,0.55,8.0,1.0,0,0,56,3.2,2.5,0.658,1.0,0.0,3.0,1.0,0.5,0.5,2.06,0.0
163,Taliyah,Taliyah,550,104,470,30.0,330,18,4.7,28,1.3,525,6.5,0.65,8.0,0.8,0,0,58,3.3,1.36,0.658,1.0,1.0,0.0,2.0,1.0,0.0,1.47,0.0
91,Talon,Talon,658,109,400,37.0,335,30,4.7,36,2.05,125,8.5,0.75,7.6,0.8,0,0,68,3.1,2.9,0.625,0.0,1.0,1.0,0.0,1.0,0.0,1.978,0.0
44,Taric,Taric,645,99,300,60.0,340,40,4.3,28,2.05,150,6.0,0.5,8.5,0.8,0,0,55,3.5,2.0,0.625,1.0,0.0,2.0,0.0,0.5,0.5,2.005,0.0
17,Teemo,Teemo,615,104,334,25.0,330,24,4.95,30,1.3,500,5.5,0.65,9.6,0.45,0,0,54,3.0,3.38,0.69,0.0,0.0,0.0,0.0,1.0,0.0,1.695,0.0
412,Thresh,Thresh,620,120,274,44.0,330,33,0.0,30,1.55,450,7.0,0.55,6.0,0.8,0,0,56,2.2,3.5,0.625,0.0,1.0,1.0,0.0,0.5,0.5,1.88,0.0
18,Tristana,Tristana,640,102,300,32.0,325,30,4.0,28,1.3,550,4.0,0.5,7.2,0.45,0,0,60,2.5,1.5,0.656,0.0,0.0,0.0,0.0,0.5,0.5,1.8,0.0
48,Trundle,Trundle,650,110,340,45.0,350,37,3.9,32,2.05,175,6.0,0.75,7.5,0.6,0,0,68,4.0,2.9,0.67,0.0,0.0,2.0,0.0,0.5,0.5,2.03,0.0
23,Tryndamere,Tryndamere,696,108,100,0.0,345,33,4.8,32,2.05,175,8.5,0.9,0.0,0.0,0,0,66,4.0,3.4,0.67,0.0,0.0,1.0,0.0,0.5,0.5,1.996,0.0
4,TwistedFate,Twisted Fate,604,108,333,39.0,330,24,4.35,30,1.3,525,5.5,0.6,8.0,0.8,0,0,52,2.5,2.5,0.625,0.0,0.0,0.0,0.0,1.0,0.0,1.684,0.0
29,Twitch,Twitch,630,104,300,40.0,330,27,4.2,30,1.3,550,3.75,0.6,7.25,0.7,0,0,59,3.1,3.38,0.679,0.0,0.0,0.0,1.0,1.0,0.0,1.77,0.0
77,Udyr,Udyr,664,92,271,50.0,350,31,4.7,32,2.05,125,6.0,0.75,7.5,0.45,0,0,62,4.0,3.0,0.65,1.0,0.0,1.0,0.0,1.0,0.0,1.924,0.0
6,Urgot,Urgot,655,102,340,45.0,330,36,5.0,32,2.05,350,7.5,0.7,7.25,0.8,0,0,63,4.0,3.75,0.625,0.0,0.0,2.0,0.0,0.5,0.5,2.015,0.0
110,Varus,Varus,600,105,320,40.0,330,24,4.6,30,1.3,575,3.5,0.55,8.0,0.8,0,0,59,3.4,3.5,0.658,0.0,0.0,2.0,0.0,1.0,0.0,1.68,0.0
67,Vayne,Vayne,550,103,232,35.0,330,23,4.6,30,1.3,550,3.5,0.55,7.0,0.4,0,0,60,2.35,3.3,0.658,1.0,0.0,1.0,0.0,1.0,0.0,1.61,0.0
45,Veigar,Veigar,580,108,490,26.0,340,18,5.2,32,1.3,550,6.5,0.6,8.0,0.8,0,0,52,2.7,2.24,0.625,1.0,0.0,1.0,0.0,1.0,0.0,1.58,0.0
161,Velkoz,Vel'Koz,590,102,469,21.0,340,22,4.7,30,1.3,525,5.5,0.55,8.0,0.8,0,0,55,3.1416,1.59,0.643,0.0,0.0,0.0,1.0,1.0,0.0,1.63,0.0
711,Vex,Vex,590,104,490,32.0,335,23,4.45,28,1.3,550,6.5,0.6,6.0,0.8,0,0,54,2.75,1.0,0.669,0.0,1.0,1.0,1.0,1.0,0.0,1.61,0.0
254,Vi,Vi,655,99,295,65.0,340,30,4.7,32,2.05,125,10.0,1.0,8.0,0.65,0,0,63,3.0,2.0,0.644,0.0,0.0,0.0,0.0,1.0,0.0,1.895,0.0
234,Viego,Viego,630,109,10000,0.0,345,34,4.6,32,2.05,200,7.0,0.7,0.0,0.0,0,0,57,3.5,2.25,0.658,1.0,1.0,1.0,0.0,0.5,0.5,1.95,0.0
112,Viktor,Viktor,600,100,405,45.0,335,23,4.4,30,1.3,525,8.0,0.65,8.0,0.8,0,0,53,3.0,2.11,0.658,1.0,0.0,1.0,3.0,1.0,0.0,1.66,0.0
8,Vladimir,Vladimir,607,110,2,0.0,330,27,4.5,30,1.3,450,7.0,0.6,0.0,0.0,0,0,55,3.0,2.0,0.658,0.0,0.0,3.0,2.0,1.0,0.0,1.747,0.0
106,Volibear,Volibear,650,104,350,70.0,340,31,5.2,32,2.05,150,9.0,0.75,6.25,0.5,0,0,60,3.5,2.0,0.625,1.0,1.0,3.0,0.0,1.0,0.0,1.91,0.0
19,Warwick,Warwick,620,99,280,35.0,335,33,4.4,32,2.05,125,4.0,0.75,7.45,0.6,0,0,65,2.5,2.0,0.638,0.0,1.0,2.0,0.0,0.5,0.5,1.92,0.0
498,Xayah,Xayah,630,107,340,40.0,330,25,4.2,30,1.3,525,3.25,0.75,8.25,0.8,0,0,60,3.5,3.9,0.658,1.0,1.0,0.0,0.0,1.0,0.0,1.73,0.0
101,Xerath,Xerath,596,106,400,22.0,340,22,4.7,30,1.3,525,5.5,0.55,6.85,0.8,0,0,55,3.0,1.36,0.658,1.0,0.0,0.0,1.0,1.0,0.0,1.636,0.0
5,XinZhao,Xin Zhao,620,106,274,55.0,345,35,4.4,32,2.05,175,8.0,0.7,7.25,0.45,0,0,63,3.0,3.5,0.645,0.0,0.0,1.0,1.0,0.5,0.5,1.96,0.0
157,Yasuo,Yasuo,590,110,100,0.0,345,32,4.6,32,2.05,175,6.5,0.9,0.0,0.0,0,0,60,2.5,3.5,0.697,0.0,1.0,0.0,1.0,0.5,0.5,1.87,0.0
777,Yone,Yone,620,105,500,0.0,345,33,4.6,32,2.05,175,7.5,0.75,0.0,0.0,0,0,60,2.0,3.5,0.625,0.0,1.0,1.0,0.0,0.5,0.5,1.92,0.0
83,Yorick,Yorick,650,114,300,60.0,340,36,4.5,32,2.05,175,8.0,0.8,7.5,0.75,0,0,62,5.0,2.0,0.625,0.0,0.0,1.0,0.0,0.5,0.5,2.01,0.0
804,Yunara,Yunara,590,110,275,45.0,325,25,4.4,30,1.3,575,4.0,0.55,7.5,0.75,0,0,55,2.5,2.0,0.65,0.0,1.0,0.0,0.0,1.0,0.0,1.69,0.0
350,Yuumi,Yuumi,500,69,440,45.0,330,25,4.2,25,1.1,425,5.0,0.55,10.0,0.4,0,0,49,3.1,1.0,0.625,0.0,1.0,3.0,0.0,0.5,0.5,1.5,0.0
154,Zac,Zac,685,109,0,0.0,340,33,4.7,32,2.05,175,5.0,0.5,0.0,0.0,0,0,60,3.4,1.6,0.736,0.0,0.0,1.0,0.0,0.5,0.5,1.985,0.0
238,Zed,Zed,654,99,200,0.0,345,32,4.7,29,2.05,125,7.0,0.65,50.0,0.0,0,0,63,3.4,3.3,0.651,0.0,2.0,0.0,0.0,0.5,0.5,1.874,0.0
221,Zeri,Zeri,600,110,250,45.0,330,24,4.2,30,1.3,500,3.25,0.7,6.0,0.8,0,0,56,2.0,2.0,0.658,0.0,1.0,0.0,0.0,1.0,0.0,1.68,0.0
115,Ziggs,Ziggs,606,106,480,23.5,325,21,4.7,30,1.3,550,6.5,0.6,8.0,0.8,0,0,55,3.1,2.0,0.656,0.0,0.0,0.0,1.0,1.0,0.0,1.626,0.0
26,Zilean,Zilean,574,96,452,50.0,335,24,5.0,30,1.3,550,5.5,0.5,11.35,0.8,0,0,52,3.0,2.13,0.658,1.0,0.0,0.0,1.0,1.0,0.0,1.654,0.0
142,Zoe,Zoe,630,106,425,25.0,340,21,4.7,30,1.3,550,7.5,0.6,8.0,0.65,0,0,58,3.3,2.5,0.658,0.0,0.0,0.0,0.0,1.0,0.0,1.65,0.0
143,Zyra,Zyra,574,93,418,25.0,340,29,4.2,30,1.3,575,5.5,0.5,7.0,0.8,0,0,53,3.2,2.11,0.681,2.0,0.0,0.0,1.0,1.0,0.0,1.754,0.0
